USN,Digital Design and Computer Organization,Data Structures,Introduction to Data Science,Web Technologies I,Discrete Mathematics and Logic,SGPA
01FB15ECS001,A,A,A,C,S,7.65
01FB15ECS002,A,B,A,B,A,7.48
01FB15ECS003,A,S,S,A,S,8.35
01FB15ECS004,S,S,A,A,A,8.17
01FB15ECS005,B,B,B,S,A,7.48
01FB15ECS006,B,C,S,A,B,7.3
01FB15ECS007,A,S,A,S,A,8.17
01FB15ECS008,A,S,B,A,A,7.83
01FB15ECS009,C,A,S,S,S,8.0
01FB15ECS010,S,C,S,A,S,8.0
01FB15ECS011,S,A,S,A,B,8.0
01FB15ECS012,A,B,A,A,S,7.83
01FB15ECS013,A,S,S,A,A,8.17
01FB15ECS014,S,A,A,B,A,7.83
01FB15ECS015,A,B,A,S,C,7.48
01FB15ECS016,S,S,A,S,B,8.17
01FB15ECS017,A,S,S,A,A,8.17
01FB15ECS018,A,A,A,S,A,8.0
01FB15ECS019,A,S,C,A,A,7.65
01FB15ECS020,A,A,A,B,S,7.83
01FB15ECS021,A,S,B,A,A,7.83
01FB15ECS022,S,S,S,A,S,8.52
01FB15ECS023,A,A,E,S,B,7.13
01FB15ECS024,A,A,S,A,A,8.0
01FB15ECS025,S,C,S,S,D,7.48
01FB15ECS026,S,S,S,A,A,8.35
01FB15ECS027,A,A,B,A,A,7.65
01FB15ECS028,B,A,S,A,S,8.0
01FB15ECS029,S,S,S,B,F,6.61
01FB15ECS030,A,S,A,A,A,8.0
01FB15ECS031,A,A,A,S,S,8.17
01FB15ECS032,A,A,S,A,A,8.0
01FB15ECS033,S,A,A,B,S,8.0
01FB15ECS034,A,A,B,S,A,7.83
01FB15ECS035,A,S,E,A,A,7.3
01FB15ECS036,A,S,S,B,S,8.17
01FB15ECS037,S,S,A,A,S,8.35
01FB15ECS038,S,A,B,A,S,8.0
01FB15ECS039,A,S,S,B,S,8.17
01FB15ECS040,S,A,S,A,S,8.35
01FB15ECS041,A,A,S,A,A,8.0
01FB15ECS042,A,A,A,A,D,7.3
01FB15ECS043,A,S,S,S,A,8.35
01FB15ECS044,S,S,A,A,S,8.35
01FB15ECS045,S,S,S,A,A,8.35
01FB15ECS046,S,A,B,A,S,8.0
01FB15ECS047,S,S,A,S,A,8.35
01FB15ECS048,S,A,A,C,A,7.65
01FB15ECS049,C,A,S,F,S,6.26
01FB15ECS050,A,S,S,A,A,8.17
01FB15ECS051,A,A,A,S,B,7.83
01FB15ECS052,S,S,B,B,S,8.0
01FB15ECS053,A,A,B,B,A,7.48
01FB15ECS054,S,S,S,S,B,8.35
01FB15ECS055,A,B,A,A,S,7.83
01FB15ECS056,A,S,S,A,C,7.83
01FB15ECS057,S,A,A,A,S,8.17
01FB15ECS058,A,S,S,A,S,8.35
01FB15ECS059,A,A,S,S,S,8.35
01FB15ECS060,S,B,S,A,S,8.17
01FB15ECS061,A,A,A,A,A,7.83
01FB15ECS062,S,S,A,A,S,8.35
01FB15ECS063,S,S,S,A,S,8.52
01FB15ECS064,S,S,A,A,S,8.35
01FB15ECS065,A,S,A,A,S,8.17
01FB15ECS066,A,C,A,S,S,7.83
01FB15ECS067,A,A,S,S,A,8.17
