USN,Linear Algebra and Its Applications,Design and Analysis of Algorithms,Database Management Systems,Microprocessor and Computer Architecture,Theory of Computation,SGPA
01FB15ECS001,S,B,B,B,A,7.48
01FB15ECS002,A,S,S,S,A,8.35
01FB15ECS003,A,A,S,A,A,8.0
01FB15ECS004,S,S,A,A,A,8.17
01FB15ECS005,S,A,A,S,A,8.17
01FB15ECS006,S,C,A,D,A,7.13
01FB15ECS007,S,S,A,A,A,8.17
01FB15ECS008,A,S,A,S,A,8.17
01FB15ECS009,A,S,A,A,B,7.83
01FB15ECS010,A,A,C,A,A,7.48
01FB15ECS011,S,A,S,S,S,8.52
01FB15ECS012,A,S,A,S,A,8.17
01FB15ECS013,A,S,A,S,S,8.35
01FB15ECS014,S,S,A,S,C,8.0
01FB15ECS015,A,S,A,A,S,8.17
01FB15ECS016,C,A,S,A,A,7.65
01FB15ECS017,S,S,S,A,A,8.35
01FB15ECS018,A,S,S,S,B,8.17
01FB15ECS019,B,A,A,S,S,8.0
01FB15ECS020,A,B,A,A,S,7.83
01FB15ECS021,A,A,A,A,A,7.83
01FB15ECS022,S,A,A,A,S,8.17
01FB15ECS023,A,A,B,S,S,8.0
01FB15ECS024,A,S,B,A,A,7.83
01FB15ECS025,A,A,S,A,A,8.0
01FB15ECS026,A,S,B,S,A,8.0
01FB15ECS027,A,C,S,A,A,7.65
01FB15ECS028,B,A,A,S,B,7.65
01FB15ECS029,A,S,A,A,A,8.0
01FB15ECS030,S,A,A,A,S,8.17
01FB15ECS031,A,A,S,A,S,8.17
01FB15ECS032,B,A,A,S,S,8.0
01FB15ECS033,S,S,S,A,A,8.35
01FB15ECS034,A,A,S,B,S,8.0
01FB15ECS035,A,C,B,A,A,7.3
01FB15ECS036,A,S,A,S,S,8.35
01FB15ECS037,A,A,S,S,S,8.35
01FB15ECS038,A,A,C,S,S,7.83
01FB15ECS039,A,S,S,A,C,7.83
01FB15ECS040,S,A,A,A,S,8.17
01FB15ECS041,S,S,A,S,B,8.17
01FB15ECS042,A,C,A,A,S,7.65
01FB15ECS043,S,A,S,S,S,8.52
01FB15ECS044,A,A,B,S,A,7.83
01FB15ECS045,A,A,A,S,A,8.0
01FB15ECS046,A,S,A,A,S,8.17
