USN,Computer Networks,Introduction to Operating Systems,Principles of Programming Languages,Elective1,Elective2,SGPA
01FB16ECS001,A,S,B,B,A,7.65
01FB16ECS002,A,S,A,B,C,7.48
01FB16ECS003,A,A,A,A,S,8.0
01FB16ECS004,A,S,S,A,S,8.35
01FB16ECS005,S,A,S,A,S,8.35
01FB16ECS006,C,B,S,S,A,7.65
01FB16ECS007,A,A,A,A,S,8.0
01FB16ECS008,A,S,A,S,A,8.17
01FB16ECS009,A,A,A,S,A,8.0
01FB16ECS010,A,A,A,S,C,7.65
01FB16ECS011,B,S,A,A,A,7.83
01FB16ECS012,S,A,A,A,A,8.0
01FB16ECS013,A,A,A,S,A,8.0
01FB16ECS014,S,A,A,A,A,8.0
01FB16ECS015,C,S,A,A,S,7.83
01FB16ECS016,A,A,S,S,C,7.83
01FB16ECS017,A,A,A,A,A,7.83
01FB16ECS018,A,A,S,C,A,7.65
01FB16ECS019,B,A,A,A,B,7.48
01FB16ECS020,A,A,F,A,A,6.26
01FB16ECS021,A,A,S,S,A,8.17
01FB16ECS022,A,S,B,A,S,8.0
01FB16ECS023,A,S,S,A,S,8.35
01FB16ECS024,A,A,S,A,S,8.17
01FB16ECS025,A,C,A,A,S,7.65
01FB16ECS026,S,C,S,A,E,7.13
01FB16ECS027,S,S,E,C,S,7.3
01FB16ECS028,S,S,B,A,A,8.0
01FB16ECS029,S,B,S,S,S,8.35
01FB16ECS030,S,A,S,B,S,8.17
01FB16ECS031,S,S,S,A,S,8.52
01FB16ECS032,S,A,A,A,A,8.0
01FB16ECS033,A,S,A,S,A,8.17
01FB16ECS034,B,S,S,A,S,8.17
01FB16ECS035,A,A,A,S,S,8.17
01FB16ECS036,A,A,B,A,A,7.65
01FB16ECS037,A,A,S,S,A,8.17
01FB16ECS038,S,A,B,A,S,8.0
01FB16ECS039,A,C,A,A,C,7.13
01FB16ECS040,A,A,A,A,S,8.0
01FB16ECS041,D,A,S,S,S,7.83
01FB16ECS042,A,S,A,A,S,8.17
01FB16ECS043,C,B,S,S,F,6.09
01FB16ECS044,S,A,A,A,S,8.17
01FB16ECS045,A,A,S,S,A,8.17
01FB16ECS046,A,A,A,S,S,8.17
01FB16ECS047,A,S,S,A,A,8.17
01FB16ECS048,A,A,C,S,A,7.65
01FB16ECS049,A,A,S,S,A,8.17
01FB16ECS050,S,S,A,B,S,8.17
01FB16ECS051,S,A,A,A,S,8.17
01FB16ECS052,B,A,S,S,D,7.48
01FB16ECS053,S,A,A,S,A,8.17
01FB16ECS054,A,S,S,A,A,8.17
01FB16ECS055,S,A,A,S,S,8.35
01FB16ECS056,S,A,A,A,S,8.17
01FB16ECS057,A,S,A,A,S,8.17
01FB16ECS058,A,B,A,S,A,7.83
01FB16ECS059,A,S,A,A,S,8.17
01FB16ECS060,S,S,A,A,S,8.35
01FB16ECS061,A,A,S,A,S,8.17
01FB16ECS062,A,S,S,S,S,8.52
01FB16ECS063,S,A,B,S,S,8.17
01FB16ECS064,A,A,A,A,S,8.0
01FB16ECS065,S,S,C,A,A,7.83
01FB16ECS066,A,S,A,A,S,8.17
01FB16ECS067,A,A,A,A,B,7.65
01FB16ECS068,S,A,B,A,S,8.0
01FB16ECS069,A,A,S,A,S,8.17
01FB16ECS070,A,S,S,A,A,8.17
01FB16ECS071,A,A,S,S,S,8.35
01FB16ECS072,A,S,A,S,A,8.17
01FB16ECS073,B,A,A,A,S,7.83
01FB16ECS074,S,A,B,S,A,8.0
01FB16ECS075,A,B,S,S,A,8.0
01FB16ECS076,S,A,A,A,A,8.0
01FB16ECS077,B,S,A,A,B,7.65
01FB16ECS078,S,S,B,B,S,8.0
01FB16ECS079,S,A,B,S,B,7.83
