USN,Object Oriented Modeling and Design,Software Engineering,Web Technologies II,Elective5,Elective6,SGPA
01FB15ECS001,A,A,B,A,S,7.83
01FB15ECS002,A,A,A,A,S,8.0
01FB15ECS003,A,S,B,A,B,7.65
01FB15ECS004,S,A,S,B,A,8.0
01FB15ECS005,S,A,S,S,S,8.52
01FB15ECS006,A,A,A,A,B,7.65
01FB15ECS007,B,A,S,S,B,7.83
01FB15ECS008,A,S,A,B,A,7.83
01FB15ECS009,S,A,S,A,A,8.17
01FB15ECS010,S,A,S,A,A,8.17
01FB15ECS011,A,A,A,A,A,7.83
01FB15ECS012,A,S,B,S,B,7.83
01FB15ECS013,C,S,A,A,A,7.65
01FB15ECS014,A,S,A,S,A,8.17
01FB15ECS015,S,B,A,B,S,7.83
01FB15ECS016,S,B,A,S,A,8.0
01FB15ECS017,A,A,A,A,S,8.0
01FB15ECS018,S,A,A,S,B,8.0
01FB15ECS019,A,A,B,A,A,7.65
01FB15ECS020,A,A,A,A,A,7.83
01FB15ECS021,S,A,A,S,A,8.17
01FB15ECS022,A,S,B,S,C,7.65
01FB15ECS023,S,S,S,A,S,8.52
01FB15ECS024,S,A,A,A,B,7.83
01FB15ECS025,S,A,A,S,A,8.17
01FB15ECS026,S,B,S,A,F,6.43
01FB15ECS027,S,A,D,S,S,7.83
01FB15ECS028,A,A,S,A,S,8.17
01FB15ECS029,A,B,F,B,S,6.09
01FB15ECS030,S,A,A,E,A,7.3
01FB15ECS031,S,A,S,A,S,8.35
01FB15ECS032,A,S,S,S,A,8.35
01FB15ECS033,A,A,S,A,B,7.83
01FB15ECS034,S,S,A,S,S,8.52
01FB15ECS035,A,A,A,S,A,8.0
01FB15ECS036,S,A,S,B,S,8.17
01FB15ECS037,C,S,S,A,A,7.83
01FB15ECS038,S,S,C,C,A,7.48
01FB15ECS039,C,A,S,A,A,7.65
01FB15ECS040,S,S,S,A,S,8.52
01FB15ECS041,A,B,S,A,A,7.83
01FB15ECS042,S,A,A,S,A,8.17
01FB15ECS043,A,S,C,D,A,7.13
01FB15ECS044,A,B,A,A,S,7.83
01FB15ECS045,S,A,A,A,S,8.17
01FB15ECS046,A,A,A,S,S,8.17
01FB15ECS047,A,S,S,S,S,8.52
01FB15ECS048,A,A,S,A,A,8.0
01FB15ECS049,A,S,A,B,A,7.83
01FB15ECS050,A,S,A,S,S,8.35
01FB15ECS051,C,S,S,S,S,8.17
01FB15ECS052,B,B,S,B,S,7.65
01FB15ECS053,A,S,A,A,A,8.0
01FB15ECS054,A,A,S,A,D,7.48
01FB15ECS055,S,S,S,A,S,8.52
01FB15ECS056,A,A,S,C,A,7.65
01FB15ECS057,A,S,A,S,A,8.17
01FB15ECS058,A,A,A,B,B,7.48
01FB15ECS059,A,A,A,A,S,8.0
01FB15ECS060,A,A,S,B,D,7.3
01FB15ECS061,A,A,A,B,B,7.48
01FB15ECS062,S,C,A,D,A,7.13
01FB15ECS063,S,A,A,S,B,8.0
01FB15ECS064,B,A,S,A,A,7.83
01FB15ECS065,A,S,A,S,A,8.17
01FB15ECS066,S,S,A,S,B,8.17
01FB15ECS067,D,S,B,S,S,7.65
01FB15ECS068,A,A,S,A,C,7.65
01FB15ECS069,S,S,A,A,A,8.17
01FB15ECS070,A,A,S,A,A,8.0
01FB15ECS071,C,A,A,S,A,7.65
01FB15ECS072,A,A,S,C,D,7.13
01FB15ECS073,S,S,A,S,A,8.35
01FB15ECS074,A,A,A,A,A,7.83
01FB15ECS075,S,S,S,S,B,8.35
01FB15ECS076,S,S,S,B,A,8.17
01FB15ECS077,S,A,S,S,S,8.52
01FB15ECS078,B,A,A,S,S,8.0
01FB15ECS079,B,A,S,A,S,8.0
01FB15ECS080,S,S,C,S,S,8.17
01FB15ECS081,B,S,S,A,B,7.83
01FB15ECS082,S,A,A,S,A,8.17
01FB15ECS083,A,A,A,S,A,8.0
01FB15ECS084,A,A,A,A,A,7.83
01FB15ECS085,A,A,S,B,A,7.83
01FB15ECS086,A,B,A,S,S,8.0
01FB15ECS087,S,A,A,S,S,8.35
01FB15ECS088,S,A,A,B,A,7.83
01FB15ECS089,S,A,S,A,S,8.35
01FB15ECS090,A,S,A,A,S,8.17
01FB15ECS091,A,A,S,S,A,8.17
01FB15ECS092,S,A,A,A,A,8.0
01FB15ECS093,A,A,A,A,S,8.0
01FB15ECS094,A,A,A,S,A,8.0
01FB15ECS095,S,S,S,A,S,8.52
01FB15ECS096,S,C,D,A,S,7.3
01FB15ECS097,A,A,B,A,S,7.83
01FB15ECS098,A,S,S,S,A,8.35
01FB15ECS099,S,S,B,A,S,8.17
01FB15ECS100,S,B,A,A,S,8.0
01FB15ECS101,A,S,A,A,C,7.65
01FB15ECS102,A,A,A,S,D,7.48
01FB15ECS103,A,A,A,B,A,7.65
01FB15ECS104,S,A,S,A,A,8.17
01FB15ECS105,S,S,A,A,A,8.17
01FB15ECS106,A,A,S,S,A,8.17
01FB15ECS107,S,S,A,D,C,7.3
01FB15ECS108,A,A,A,S,A,8.0
01FB15ECS109,S,A,S,A,S,8.35
01FB15ECS110,B,A,S,A,B,7.65
01FB15ECS111,B,S,A,A,A,7.83
01FB15ECS112,A,S,S,A,A,8.17
01FB15ECS113,A,A,A,A,A,7.83
01FB15ECS114,S,C,S,B,S,7.83
01FB15ECS115,S,S,S,A,A,8.35
01FB15ECS116,S,A,S,C,A,7.83
01FB15ECS117,A,A,A,A,C,7.48
01FB15ECS118,S,A,A,B,A,7.83
01FB15ECS119,S,B,A,S,S,8.17
01FB15ECS120,D,S,A,S,A,7.65
01FB15ECS121,A,A,S,A,S,8.17
01FB15ECS122,A,A,A,A,A,7.83
01FB15ECS123,S,S,A,A,A,8.17
01FB15ECS124,A,B,S,S,B,7.83
01FB15ECS125,B,S,S,S,S,8.35
01FB15ECS126,S,S,A,S,A,8.35
01FB15ECS127,A,S,A,A,A,8.0
01FB15ECS128,B,S,F,A,S,6.43
01FB15ECS129,A,A,A,B,S,7.83
01FB15ECS130,S,S,A,S,A,8.35
01FB15ECS131,A,A,S,S,A,8.17
01FB15ECS132,S,S,S,A,S,8.52
01FB15ECS133,A,A,F,B,A,6.09
01FB15ECS134,S,S,B,S,A,8.17
01FB15ECS135,A,A,S,A,A,8.0
01FB15ECS136,A,A,S,S,S,8.35
01FB15ECS137,A,A,S,A,A,8.0
01FB15ECS138,S,B,A,S,A,8.0
01FB15ECS139,B,A,S,S,S,8.17
01FB15ECS140,S,A,S,A,A,8.17
01FB15ECS141,S,S,B,S,S,8.35
01FB15ECS142,A,S,B,S,A,8.0
01FB15ECS143,S,S,S,A,S,8.52
01FB15ECS144,A,B,B,A,B,7.3
01FB15ECS145,S,A,S,B,A,8.0
01FB15ECS146,A,A,S,S,A,8.17
01FB15ECS147,S,S,A,S,A,8.35
01FB15ECS148,D,A,S,A,A,7.48
01FB15ECS149,S,A,A,B,S,8.0
01FB15ECS150,A,A,S,A,A,8.0
01FB15ECS151,S,A,S,E,A,7.48
01FB15ECS152,S,S,S,A,A,8.35
01FB15ECS153,S,A,S,S,A,8.35
01FB15ECS154,A,B,S,A,A,7.83
01FB15ECS155,A,A,B,A,A,7.65
01FB15ECS156,C,A,A,B,A,7.3
01FB15ECS157,S,S,S,B,A,8.17
01FB15ECS158,A,A,A,A,S,8.0
01FB15ECS159,A,A,A,A,A,7.83
01FB15ECS160,A,A,A,S,A,8.0
01FB15ECS161,B,A,A,A,A,7.65
01FB15ECS162,A,S,A,A,B,7.83
01FB15ECS163,S,A,A,S,A,8.17
01FB15ECS164,B,A,S,S,A,8.0
01FB15ECS165,A,B,A,A,A,7.65
01FB15ECS166,S,A,A,A,A,8.0
01FB15ECS167,B,S,S,A,A,8.0
01FB15ECS168,C,A,A,A,A,7.48
01FB15ECS169,A,A,A,S,S,8.17
01FB15ECS170,S,S,S,S,A,8.52
01FB15ECS171,A,A,C,A,S,7.65
01FB15ECS172,A,S,C,S,A,7.83
01FB15ECS173,S,S,S,S,S,8.7
01FB15ECS174,S,A,S,B,A,8.0
01FB15ECS175,C,F,S,S,A,6.26
01FB15ECS176,A,S,D,A,A,7.48
01FB15ECS177,A,S,D,A,C,7.13
01FB15ECS178,A,A,A,S,A,8.0
01FB15ECS179,S,A,S,A,A,8.17
01FB15ECS180,A,S,A,S,A,8.17
01FB15ECS181,A,A,D,S,S,7.65
01FB15ECS182,A,C,A,E,S,6.96
01FB15ECS183,A,S,B,A,A,7.83
01FB15ECS184,A,S,B,S,S,8.17
01FB15ECS185,S,A,C,A,S,7.83
01FB15ECS186,A,S,A,A,B,7.83
01FB15ECS187,A,A,A,S,B,7.83
01FB15ECS188,S,B,A,S,A,8.0
01FB15ECS189,A,A,A,S,A,8.0
01FB15ECS190,B,A,A,S,S,8.0
01FB15ECS191,S,S,A,S,B,8.17
01FB15ECS192,A,S,S,S,S,8.52
01FB15ECS193,A,A,A,S,A,8.0
01FB15ECS194,A,A,A,S,S,8.17
01FB15ECS195,A,C,S,A,A,7.65
01FB15ECS196,A,C,A,A,S,7.65
01FB15ECS197,A,A,S,S,A,8.17
01FB15ECS198,B,A,S,B,S,7.83
01FB15ECS199,S,B,S,A,A,8.0
01FB15ECS200,C,A,C,A,S,7.3
01FB15ECS201,A,A,S,A,A,8.0
01FB15ECS202,A,A,A,A,S,8.0
01FB15ECS203,S,C,C,A,S,7.48
01FB15ECS204,A,B,B,S,A,7.65
01FB15ECS205,C,S,A,S,A,7.83
01FB15ECS206,A,S,S,S,A,8.35
01FB15ECS207,B,B,S,A,A,7.65
01FB15ECS208,A,B,A,A,A,7.65
01FB15ECS209,S,E,B,S,A,7.3
